EPOCH 0 ,ACC 48.45506666666666
EPOCH 1 ,ACC 63.714199999999984
EPOCH 2 ,ACC 68.88886666666667
EPOCH 3 ,ACC 69.51320000000001
EPOCH 4 ,ACC 67.4814
EPOCH 5 ,ACC 64.05293333333334
EPOCH 6 ,ACC 61.61900000000001
EPOCH 7 ,ACC 61.69313333333334
EPOCH 8 ,ACC 61.9366
EPOCH 9 ,ACC 62.56100000000001
EPOCH 10 ,ACC 63.96840000000001
EPOCH 11 ,ACC 61.820066666666655
EPOCH 12 ,ACC 64.09526666666667
EPOCH 13 ,ACC 63.26986666666666
EPOCH 14 ,ACC 65.38613333333332
EPOCH 15 ,ACC 63.248666666666665
EPOCH 16 ,ACC 63.364933333333326
EPOCH 17 ,ACC 64.83586666666666
EPOCH 18 ,ACC 63.534266666666674
EPOCH 19 ,ACC 64.3492
EPOCH 20 ,ACC 64.86773333333333
EPOCH 21 ,ACC 65.43906666666666
EPOCH 22 ,ACC 64.60319999999999
EPOCH 23 ,ACC 65.21686666666668
EPOCH 24 ,ACC 65.15333333333334
EPOCH 25 ,ACC 65.20639999999999
EPOCH 26 ,ACC 65.31213333333334
EPOCH 27 ,ACC 63.724799999999995
EPOCH 28 ,ACC 65.6508
EPOCH 29 ,ACC 64.5608
EPOCH 30 ,ACC 65.1958
EPOCH 31 ,ACC 64.7726
EPOCH 32 ,ACC 65.9578
EPOCH 33 ,ACC 64.16926666666667
EPOCH 34 ,ACC 64.85719999999999
EPOCH 35 ,ACC 65.25926666666666
EPOCH 36 ,ACC 63.93646666666666
EPOCH 37 ,ACC 64.6244
EPOCH 38 ,ACC 66.17979999999999
EPOCH 39 ,ACC 66.20106666666666
EPOCH 40 ,ACC 65.1958
EPOCH 41 ,ACC 65.5768
EPOCH 42 ,ACC 65.79886666666665
EPOCH 43 ,ACC 65.1322
EPOCH 44 ,ACC 65.9576
EPOCH 45 ,ACC 67.60833333333332
EPOCH 46 ,ACC 66.46560000000001
EPOCH 47 ,ACC 65.74600000000001
